Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4038791,AIR_11,COUNTRY,BHS,YEAR,AMR,Americas,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4038906,AIR_11,COUNTRY,BFA,YEAR,AFR,Africa,SEX,SEX_FMLE,2016,GHECAUSE,GHECAUSE_GHE001130,,,,,1415 [1159-1703],1414.562,1158.88,1703.4,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4039215,AIR_11,COUNTRY,LUX,YEAR,EUR,Europe,SEX,SEX_BTSX,2019,GHECAUSE,GHECAUSE_GHE000000,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4039356,AIR_11,COUNTRY,SLV,YEAR,AMR,Americas,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE000000,,,,,529 [287-815],529.401,287.063,814.908,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4039693,AIR_11,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE001130,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4039918,AIR_11,COUNTRY,NIC,YEAR,AMR,Americas,SEX,SEX_BTSX,2012,GHECAUSE,GHECAUSE_GHE000680,,,,,105 [80-130],104.509,79.778,130.482,,2024-10-03T16:28:23.683+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4039945,AIR_11,COUNTRY,CZE,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE000680,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4040049,AIR_11,COUNTRY,NER,YEAR,AFR,Africa,SEX,SEX_MLE,2014,GHECAUSE,GHECAUSE_GHE001140,,,,,1171 [741-1771],1171.326,740.981,1770.842,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4040461,AIR_11,COUNTRY,BLR,YEAR,EUR,Europe,SEX,SEX_MLE,2011,GHECAUSE,GHECAUSE_GHE000000,,,,,410 [0-1612],410.425,0,1611.689,,2024-10-03T16:28:23.683+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4040727,AIR_11,COUNTRY,AGO,YEAR,AFR,Africa,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE001140,,,,,1116 [565-1840],1115.929,565.166,1840.371,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4041321,AIR_11,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2014,GHECAUSE,GHECAUSE_GHE001140,,,,,194 [120-294],194.303,119.785,293.914,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4041595,AIR_11,COUNTRY,MUS,YEAR,AFR,Africa,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE000390,,,,,5 [0-17],4.73,0,16.722,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4041947,AIR_11,COUNTRY,SLV,YEAR,AMR,Americas,SEX,SEX_FMLE,2017,GHECAUSE,GHECAUSE_GHE001130,,,,,201 [92-372],201.04,92.417,372.013,,2024-10-03T16:28:23.683+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4042323,AIR_11,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2013,GHECAUSE,GHECAUSE_GHE001180,,,,,167 [0-620],167.298,0,620.377,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4042345,AIR_11,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_BTSX,2016,GHECAUSE,GHECAUSE_GHE001140,,,,,1667 [1076-2453],1667.257,1076.103,2452.602,,2024-10-03T16:28:23.683+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4042591,AIR_11,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2014,GHECAUSE,GHECAUSE_GHE001130,,,,,5 [2-7],4.748,2.491,7.438,,2024-10-03T16:28:23.683+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4043100,AIR_11,COUNTRY,GNQ,YEAR,AFR,Africa,SEX,SEX_MLE,2010,GHECAUSE,GHECAUSE_GHE000680,,,,,6 [5-7],5.943,4.774,7.03,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4043418,AIR_11,COUNTRY,UKR,YEAR,EUR,Europe,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE001130,,,,,5442 [283-16 836],5441.559,283.081,16836.029,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4043561,AIR_11,COUNTRY,TTO,YEAR,AMR,Americas,SEX,SEX_MLE,2010,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4043740,AIR_11,REGION,SEAR,YEAR,,,SEX,SEX_FMLE,2013,GHECAUSE,GHECAUSE_GHE000680,,,,,17 194 [12 961-21 057],17194.411,12961.345,21056.713,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4044483,AIR_11,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_FMLE,2017,GHECAUSE,GHECAUSE_GHE001180,,,,,55 [19-134],55.221,19.414,133.798,,2024-10-03T16:28:23.683+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4044527,AIR_11,COUNTRY,CMR,YEAR,AFR,Africa,SEX,SEX_FMLE,2013,GHECAUSE,GHECAUSE_GHE001180,,,,,439 [302-679],438.883,302.38,679.324,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4044740,AIR_11,COUNTRY,CHE,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,GHECAUSE,GHECAUSE_GHE000680,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4044990,AIR_11,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE001140,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4045474,AIR_11,COUNTRY,JPN,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2019,GHECAUSE,GHECAUSE_GHE000390,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4046245,AIR_11,COUNTRY,AGO,YEAR,AFR,Africa,SEX,SEX_FMLE,2018,GHECAUSE,GHECAUSE_GHE001130,,,,,1185 [779-1595],1185.495,779.068,1595.22,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4046677,AIR_11,COUNTRY,FRA,YEAR,EUR,Europe,SEX,SEX_BTSX,2018,GHECAUSE,GHECAUSE_GHE001140,,,,,0 [0-0],0,0,0,,2024-10-03T16:28:23.683+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4046991,AIR_11,COUNTRY,ERI,YEAR,AFR,Africa,SEX,SEX_MLE,2013,GHECAUSE,GHECAUSE_GHE000680,,,,,15 [13-17],15.084,12.612,17.278,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4047181,AIR_11,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2013,GHECAUSE,GHECAUSE_GHE000000,,,,,717 [600-841],716.668,599.914,841.412,,2024-10-03T16:28:23.683+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
